baths,beds,addressZipcode,addressCity,detailUrl,area,price,property_age
3.0,5.0,98008,Sammamish,https://www.zillow.com/homedetails/18513-NE-19th-Pl-Bellevue-WA-98008/49089026_zpid/,3220.0,1446100.0,34
5.0,5.0,98008,Sammamish,https://www.zillow.com/homedetails/15734-SE-25th-St-Bellevue-WA-98008/49005672_zpid/,4159.0,2940200.0,41
5.0,5.0,98008,Sammamish,https://www.zillow.com/homedetails/1232-166th-Ave-SE-Bellevue-WA-98008/49035024_zpid/,4656.0,3740600.0,32
2.0,3.0,98008,Sammamish,https://www.zillow.com/homedetails/16704-SE-28th-St-Bellevue-WA-98008/48908730_zpid/,2310.0,1519300.0,33
2.5,4.0,98008,Sammamish,https://www.zillow.com/homedetails/16422-NE-29th-St-Bellevue-WA-98008/48938162_zpid/,2260.0,1556400.0,31
3.0,5.0,98008,Sammamish,https://www.zillow.com/homedetails/3429-167th-Ave-SE-Bellevue-WA-98008/48851264_zpid/,2910.0,1456800.0,44
2.0,3.0,98008,Sammamish,https://www.zillow.com/homedetails/16019-SE-9th-St-Bellevue-WA-98008/48912683_zpid/,1450.0,1283200.0,42
3.0,5.0,98008,Sammamish,https://www.zillow.com/homedetails/628-163rd-Ave-SE-Bellevue-WA-98008/48912796_zpid/,2540.0,1499300.0,44
5.0,5.0,98008,Sammamish,https://www.zillow.com/homedetails/15913-Main-St-Bellevue-WA-98008/48913661_zpid/,4343.0,2996600.0,40
3.0,4.0,98008,Sammamish,https://www.zillow.com/homedetails/854-170th-Pl-NE-Bellevue-WA-98008/48914211_zpid/,1960.0,1468800.0,44
3.0,5.0,98008,Sammamish,https://www.zillow.com/homedetails/16822-SE-26th-St-Bellevue-WA-98008/49068751_zpid/,3710.0,2528800.0,37
3.0,3.0,98008,Sammamish,https://www.zillow.com/homedetails/18310-NE-19th-Pl-Bellevue-WA-98008/49088849_zpid/,2090.0,1803800.0,32
5.0,5.0,98008,Sammamish,https://www.zillow.com/homedetails/17109-NE-16th-Pl-Bellevue-WA-98008/48858670_zpid/,3885.0,2848600.0,42
2.0,3.0,98008,Sammamish,https://www.zillow.com/homedetails/17266-NE-18th-Pl-Bellevue-WA-98008/48856190_zpid/,1480.0,1224800.0,36
2.0,3.0,98008,Sammamish,https://www.zillow.com/homedetails/1651-169th-Ave-NE-Bellevue-WA-98008/48858604_zpid/,1118.0,1948600.0,42
5.0,5.0,98008,Sammamish,https://www.zillow.com/homedetails/15622-SE-9th-St-Bellevue-WA-98008/48912543_zpid/,3977.0,2897900.0,45
5.0,5.0,98008,Sammamish,https://www.zillow.com/homedetails/15827-SE-4th-St-Bellevue-WA-98008/48914579_zpid/,4111.0,2814000.0,39
3.0,3.0,98008,Sammamish,https://www.zillow.com/homedetails/16219-Northup-Way-APT-C202-Bellevue-WA-98008/49070647_zpid/,1610.0,634800.0,38
3.0,3.0,98008,Sammamish,https://www.zillow.com/homedetails/4058-173rd-Pl-SE-Bellevue-WA-98008/48815674_zpid/,2830.0,1689200.0,35
4.0,5.0,98008,Sammamish,https://www.zillow.com/homedetails/1805-179th-Pl-NE-Bellevue-WA-98008/49129135_zpid/,2980.0,1787700.0,31
2.0,3.0,98008,Sammamish,https://www.zillow.com/homedetails/1255-169th-Ave-NE-Bellevue-WA-98008/48915053_zpid/,1300.0,1340900.0,41
1.0,3.0,98008,Sammamish,https://www.zillow.com/homedetails/16711-NE-16th-Pl-Bellevue-WA-98008/48858576_zpid/,1136.0,1289200.0,31
3.0,4.0,98008,Sammamish,https://www.zillow.com/homedetails/16671-SE-17th-Pl-Bellevue-WA-98008/48654951_zpid/,2100.0,1543600.0,40
2.0,4.0,98008,Sammamish,https://www.zillow.com/homedetails/16654-SE-26th-Pl-Bellevue-WA-98008/49068781_zpid/,2110.0,1518200.0,44
2.0,3.0,98008,Sammamish,https://www.zillow.com/homedetails/16223-NE-26th-St-Bellevue-WA-98008/49055613_zpid/,1570.0,1379400.0,37
3.0,4.0,98008,Sammamish,https://www.zillow.com/homedetails/845-179th-Pl-NE-Bellevue-WA-98008/48702672_zpid/,2550.0,1760700.0,39
2.0,3.0,98008,Sammamish,https://www.zillow.com/homedetails/959-165th-Ave-SE-Bellevue-WA-98008/48912874_zpid/,1430.0,1222900.0,45
2.0,3.0,98008,Sammamish,https://www.zillow.com/homedetails/442-164th-Ave-SE-Bellevue-WA-98008/48913130_zpid/,1150.0,819600.0,42
5.0,5.0,98008,Sammamish,https://www.zillow.com/homedetails/15903-Main-St-Bellevue-WA-98008/48913660_zpid/,4306.0,2936000.0,43
2.0,3.0,98008,Sammamish,https://www.zillow.com/homedetails/2415-164th-Ave-NE-Bellevue-WA-98008/49055647_zpid/,1840.0,1517700.0,34
2.0,4.0,98008,Sammamish,https://www.zillow.com/homedetails/2940-161st-Ave-SE-Bellevue-WA-98008/49068942_zpid/,1880.0,1255300.0,41
3.0,3.0,98008,Sammamish,https://www.zillow.com/homedetails/16432-SE-24th-St-Bellevue-WA-98008/48654974_zpid/,3048.0,2138700.0,30
3.0,3.0,98008,Sammamish,https://www.zillow.com/homedetails/351-167th-Ave-NE-Bellevue-WA-98008/48914585_zpid/,1820.0,1539200.0,38
3.0,3.0,98008,Sammamish,https://www.zillow.com/homedetails/818-179th-Pl-NE-Bellevue-WA-98008/48702698_zpid/,2140.0,1491400.0,33
5.0,5.0,98008,Sammamish,https://www.zillow.com/homedetails/2505-166th-Ave-SE-Bellevue-WA-98008/49068696_zpid/,3715.0,2881400.0,30
3.0,3.0,98008,Sammamish,https://www.zillow.com/homedetails/2415-165th-Pl-NE-Bellevue-WA-98008/48662804_zpid/,1460.0,1265100.0,38
4.0,4.0,98008,Sammamish,https://www.zillow.com/homedetails/3102-168th-Pl-SE-Bellevue-WA-98008/96700370_zpid/,3420.0,2859600.0,39
5.0,5.0,98008,Sammamish,https://www.zillow.com/homedetails/650-Lake-Sammamish-Ln-NE-Bellevue-WA-98008/48885409_zpid/,3997.0,4842200.0,33
5.0,5.0,98008,Sammamish,https://www.zillow.com/homedetails/1211-169th-Pl-NE-Bellevue-WA-98008/48915076_zpid/,4355.0,2928400.0,44
2.0,3.0,98008,Sammamish,https://www.zillow.com/homedetails/15740-NE-1st-St-Bellevue-WA-98008/48913698_zpid/,1280.0,1171500.0,37
4.0,4.0,98074,Sammamish,https://www.zillow.com/homedetails/2805-Sahalee-Dr-E-Sammamish-WA-98074/49039787_zpid/,4113.0,2224500.0,30
2.0,3.0,98074,Sammamish,https://www.zillow.com/homedetails/20932-NE-44th-St-Sammamish-WA-98074/49094252_zpid/,1340.0,1074800.0,41
3.0,4.0,98074,Sammamish,https://www.zillow.com/homedetails/24619-SE-2nd-Pl-Sammamish-WA-98074/48681819_zpid/,3720.0,2324500.0,31
3.0,3.0,98074,Sammamish,https://www.zillow.com/homedetails/1513-220th-Pl-NE-Sammamish-WA-98074/48881892_zpid/,1624.0,1171000.0,34
3.0,3.0,98074,Sammamish,https://www.zillow.com/homedetails/352-227th-Ln-NE-142-Sammamish-WA-98074/55791643_zpid/,1490.0,768700.0,37
3.0,4.0,98074,Sammamish,https://www.zillow.com/homedetails/20975-SE-6th-Pl-Sammamish-WA-98074/112896160_zpid/,3537.0,2148200.0,45
5.0,4.0,98074,Sammamish,https://www.zillow.com/homedetails/2472-E-Lake-Sammamish-Pkwy-NE-Sammamish-WA-98074/48775195_zpid/,2880.0,1998600.0,40
3.0,4.0,98074,Sammamish,https://www.zillow.com/homedetails/22506-NE-19th-Pl-Sammamish-WA-98074/48831885_zpid/,2020.0,1324100.0,32
3.0,5.0,98074,Sammamish,https://www.zillow.com/homedetails/20702-NE-42nd-Pl-Sammamish-WA-98074/49094320_zpid/,2110.0,1299100.0,44
3.0,4.0,98074,Sammamish,https://www.zillow.com/homedetails/25413-NE-3rd-Pl-Sammamish-WA-98074/61767171_zpid/,3220.0,1848700.0,32
2.5,4.0,98074,Sammamish,https://www.zillow.com/homedetails/22111-NE-26th-Pl-Sammamish-WA-98074/49040012_zpid/,3150.0,1480900.0,42
3.0,5.0,98074,Sammamish,https://www.zillow.com/homedetails/20559-NE-31st-St-Sammamish-WA-98074/48655798_zpid/,2979.0,1929100.0,39
3.0,3.0,98074,Sammamish,https://www.zillow.com/homedetails/21919-NE-18th-St-Sammamish-WA-98074/49043147_zpid/,1880.0,1152400.0,34
3.0,3.0,98074,Sammamish,https://www.zillow.com/homedetails/23310-NE-22nd-St-Sammamish-WA-98074/49078528_zpid/,2450.0,1419100.0,37
2.25,4.0,98074,Sammamish,https://www.zillow.com/homedetails/20559-NE-31st-St-Sammamish-WA-98074/49094675_zpid/,2965.0,1772500.0,45
3.0,3.0,98074,Sammamish,https://www.zillow.com/homedetails/23006-NE-21st-St-Sammamish-WA-98074/48997490_zpid/,1880.0,1299600.0,41
